iter	Passed	Remaining
569	29450	22217
570	29500	22163
571	29542	22105
572	29584	22046
573	29633	21992
574	29674	21933
575	29717	21875
576	29764	21820
577	29808	21762
578	29850	21704
579	29894	21647
580	29935	21588
581	29980	21532
582	30030	21479
583	30081	21428
584	30130	21374
585	30177	21319
586	30217	21260
587	30270	21210
588	30310	21150
589	30358	21096
590	30399	21037
591	30445	20982
592	30490	20926
593	30531	20868
594	30580	20815
595	30627	20761
596	30676	20707
597	30749	20671
598	30808	20624
599	30877	20584
600	30924	20530
601	30976	20479
602	31019	20422
603	31058	20362
604	31114	20314
605	31169	20265
606	31214	20209
607	31259	20153
608	31368	20139
609	31471	20121
610	31518	20066
611	31558	20007
612	31605	19953
613	31651	19898
614	31696	19842
615	31743	19788
616	31789	19733
617	31834	19677
618	31878	19621
619	31922	19565
620	31969	19511
621	32015	19456
622	32065	19403
623	32113	19350
624	32171	19302
625	32218	19248
626	32268	19196
627	32315	19142
628	32360	19087
629	32404	19030
630	32455	18979
631	32502	18925
632	32553	18873
633	32597	18818
634	32652	18768
635	32730	18732
636	32778	18679
637	32821	18622
638	32899	18586
639	32966	18543
640	33023	18495
641	33113	18465
642	33178	18421
643	33244	18377
644	33294	18325
645	33341	18270
646	33382	18213
647	33430	18160
648	33481	18107
649	33528	18053
650	33572	17997
651	33618	17943
652	33664	17889
653	33715	17837
654	33755	17779
655	33801	17724
656	33848	17671
657	33893	17616
658	33947	17566
659	33988	17509
660	34038	17456
661	34083	17402
662	34129	17348
663	34170	17291
664	34213	17235
665	34265	17184
666	34304	17126
667	34352	17073
668	34400	17020
669	34443	16964
670	34488	16910
671	34535	16856
672	34584	16803
673	34634	16752
674	34682	16699
675	34729	16645
676	34778	16592
677	34819	16536
678	34874	16487
679	34920	16433
680	34973	16382
681	35015	16326
682	35062	16273
683	35112	16221
684	35160	16168
685	35209	16116
686	35250	16060
687	35296	16006
688	35348	15955
689	35394	15902
690	35439	15847
691	35482	15792
692	35560	15753
693	35639	15714
694	35686	15661
695	35736	15609
696	35778	15553
697	35824	15499
698	35878	15449
699	35938	15402
700	35987	15349
701	36029	15294
702	36089	15246
703	36142	15196
704	36190	15143
705	36240	15091
706	36285	15037
707	36334	14985
708	36376	14930
709	36419	14875
710	36486	14830
711	36560	14788
712	36609	14736
713	36664	14686
714	36708	14631
715	36770	14585
716	36822	14533
717	36880	14484
718	36941	14437
719	37011	14393
720	37122	14364
721	37207	14326
722	37268	14278
723	37336	14233
724	37388	14181
725	37439	14129
726	37483	14075
727	37535	14024
728	37584	13971
729	37630	13918
730	37680	13866
731	37728	13813
732	37779	13761
733	37829	13709
734	37875	13655
735	37919	13601
736	37960	13546
737	38007	13493
738	38056	13440
739	38096	13385
740	38142	13331
741	38185	13277
742	38235	13225
743	38279	13171
744	38326	13118
745	38376	13066
746	38424	13013
747	38471	12960
748	38510	12905
749	38556	12852
750	38602	12799
751	38650	12746
752	38696	12693
753	38740	12639
754	38789	12587
755	38839	12535
756	38884	12482
757	38926	12427
758	38972	12374
759	39017	12321
760	39056	12266
761	39105	12213
762	39147	12159
763	39189	12105
764	39235	12052
765	39274	11997
766	39320	11944
767	39369	11892
768	39409	11838
769	39452	11784
770	39500	11732
771	39541	11678
772	39586	11624
773	39629	11571
774	39672	11517
775	39721	11466
776	39762	11411
777	39804	11358
778	39850	11305
779	39891	11251
780	39933	11197
781	39978	11144
782	40021	11091
783	40065	11038
784	40109	10985
785	40154	10932
786	40197	10879
787	40240	10826
788	40288	10774
789	40332	10721
790	40376	10668
791	40419	10615
792	40464	10562
793	40502	10508
794	40546	10455
795	40585	10401
796	40627	10347
797	40671	10295
798	40715	10242
799	40764	10191
800	40809	10138
801	40855	10086
802	40899	10033
803	40942	9980
804	40988	9929
805	41035	9877
806	41078	9824
807	41122	9771
808	41163	9718
809	41205	9665
810	41250	9613
811	41287	9559
812	41335	9507
813	41374	9454
814	41419	9402
815	41462	9349
816	41507	9297
817	41549	9244
818	41590	9191
819	41633	9139
820	41680	9087
821	41723	9035
822	41769	8983
823	41815	8931
824	41855	8878
825	41898	8826
826	41941	8773
827	41983	8721
828	42030	8669
829	42072	8617
830	42113	8564
831	42157	8512
832	42198	8460
833	42242	8408
834	42283	8355
835	42326	8303
836	42367	8250
837	42412	8199
838	42463	8148
839	42506	8096
840	42550	8044
841	42593	7992
842	42637	7940
843	42681	7888
844	42728	7837
845	42805	7791
846	42898	7749
847	42949	7698
848	42991	7646
849	43034	7594
850	43073	7541
851	43117	7489
852	43158	7437
853	43228	7390
854	43295	7342
855	43348	7292
856	43412	7243
857	43480	7196
858	43559	7149
859	43635	7103
860	43705	7055
861	43773	7007
862	43837	6959
863	43888	6908
864	43942	6858
865	43983	6805
866	44034	6755
867	44083	6703
868	44134	6653
869	44182	6601
870	44227	6550
871	44271	6498
872	44333	6449
873	44395	6400
874	44448	6349
875	44516	6301
876	44584	6253
877	44638	6202
878	44695	6152
879	44762	6103
880	44823	6054
881	44889	6005
882	44974	5959
883	45045	5911
884	45128	5864
885	45190	5814
886	45245	5764
887	45315	5715
888	45352	5662
889	45395	5610
890	45441	5559
891	45494	5508
892	45538	5456
893	45578	5404
894	45626	5352
895	45673	5301
896	45718	5249
897	45759	5197
898	45801	5145
899	45847	5094
900	45891	5042
901	45939	4991
902	45992	4940
903	46038	4889
904	46087	4837
905	46133	4786
906	46179	4735
907	46226	4683
908	46274	4632
909	46326	4581
910	46369	4530
911	46410	4478
912	46467	4427
913	46528	4377
914	46603	4329
915	46657	4278
916	46824	4238
917	46897	4189
918	46951	4138
919	46992	4086
920	47030	4034
921	47069	3981
922	47114	3930
923	47156	3878
924	47202	3827
925	47254	3776
926	47300	3724
927	47347	3673
928	47392	3622
929	47439	3570
930	47481	3519
931	47524	3467
932	47564	3415
933	47609	3364
934	47645	3312
935	47688	3260
936	47735	3209
937	47778	3158
938	47822	3106
939	47870	3055
940	47918	3004
941	47968	2953
942	48023	2902
943	48075	2851
944	48151	2802
945	48196	2751
946	48243	2699
947	48291	2648
948	48329	2597
949	48365	2545
950	48407	2494
951	48452	2442
952	48494	2391
953	48529	2340
954	48573	2288
955	48619	2237
956	48660	2186
957	48706	2135
958	48749	2084
959	48790	2032
960	48837	1981
961	48881	1930
962	48922	1879
963	48963	1828
964	49009	1777
965	49050	1726
966	49102	1675
967	49151	1624
968	49195	1573
969	49239	1522
970	49282	1471
971	49324	1420
972	49369	1369
973	49417	1319
974	49462	1268
975	49504	1217
976	49548	1166
977	49594	1115
978	49635	1064
979	49685	1013
980	49727	963
981	49771	912
982	49816	861
983	49860	810
984	49905	759
985	49974	709
986	50017	658
987	50063	608
988	50112	557
989	50158	506
990	50207	455
991	50255	405
992	50297	354
993	50339	303
994	50377	253
995	50420	202
996	50460	151
997	50517	101
998	50563	50
999	50607	0
